,measure,2019,2020,2021,2022,2023,2024,league
0,count,30.0,30.0,30.0,30.0,30.0,30.0,NBA
1,mean,41.0,32.36666666666667,36.0,41.0,41.0,41.0,NBA
2,std,12.028701308637345,10.423724046064619,10.01378360406123,11.566896880679618,10.024108869155883,13.41126649371778,NBA
3,min,17.0,15.0,17.0,20.0,17.0,14.0,NBA
4,25%,33.0,23.25,31.0,33.25,35.5,31.25,NBA
5,50%,41.5,30.0,37.0,43.5,42.0,46.5,NBA
6,75%,49.75,40.75,42.0,50.5,46.5,49.0,NBA
7,max,60.0,53.0,52.0,64.0,58.0,64.0,NBA
0,count,12.0,12.0,12.0,12.0,12.0,12.0,WNBA
1,mean,18.333333333333332,12.25,17.5,20.0,21.75,20.083333333333332,WNBA
2,std,7.487363091276264,6.297546419764678,7.54983443527075,8.82146143324233,10.402141387932845,8.414903805784476,WNBA
3,min,8.0,2.0,6.0,5.0,9.0,8.0,WNBA
4,25%,12.25,7.75,12.0,14.0,16.0,13.75,WNBA
5,50%,18.5,13.0,18.0,18.0,19.0,19.5,WNBA
6,75%,23.0,15.0,24.25,26.25,25.5,27.25,WNBA
7,max,32.0,24.0,27.0,35.0,42.0,32.0,WNBA
